District,children_threats,missing_persons_threats,sll_crimes_threats,women_threats
Moga,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,"['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']",
Morbi,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped']",,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation']",
Mulugu,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 12 Of Pocso Act Girls']",,,
Mumbai,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Mumbai Suburban,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']",,,
Munger,No major threats,,"['Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation', 'Information Technology Act']",
Nagaon,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",No major threats,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Nagarkurnool,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Abetment To Suicide Of Women']"
Nagaur,"['Rape', 'Missing Children Deemed As Kidnapped', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,
Nagpur,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']","['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'City Town Police Acts']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Dowry Deaths']"
Nainital,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Muder With Rape Pocso']",No major threats,"['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Information Technology Act']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Nalanda,"['Missing Children Deemed As Kidnapped', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls']","['female 14 to 18 years', 'female 18 to 30 years', 'male 5 to 14 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage']",
Nalbari,"['Section 4 And 6 Of Pocso Act Girls', 'Prohibition Of Child Marriage', 'Muder With Rape Pocso']","['trangender 18 to 30 years', 'trangender 14 to 18 years', 'female 18 to 30 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Nalgonda,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Child Labour']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Child Labour Prohibition Regulation']",
Namakkal,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,"['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'The Copy Right Act']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Namchi,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,
Namsai,"['Muder With Rape Pocso', 'Missing Children Deemed As Kidnapped', 'Rape']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Nanded,"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Narayanpur,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Muder With Rape Pocso']",,,"['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Murder With Rape Gang Rape']"
Narmadapuram,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Nashik,"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Nawada,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
New Delhi,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['male 18 to 30 years', 'female 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Murder With Rape Gang Rape', 'Rape Women Above 18']"
Nirmal,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'male 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Nizamabad,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
North,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,
North And Middle Andaman,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Insult To The Modesty Of Women Above 18']"
North Goa,"['Rape', 'Missing Children Deemed As Kidnapped', 'Muder With Rape Pocso']",,"['Immoral Traffic Prevention', 'Information Technology Act', 'Dowry Prohibition']",
North Tripura,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Rape']","['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Indecent Representation Of Women Prohibition', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Assault On Women With Intent To Outrage Her Modesty Below 18']"
North West,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']","['Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Nuapada,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",No major threats,,
Nuh,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Osmanabad,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Motor Vehicle Act', 'The Copy Right Act']",
Pakur,"['Missing Children Deemed As Kidnapped', 'Muder With Rape Pocso', 'Other Murder']","['female 14 to 18 years', 'male below 5 years', 'female 30 to 45 years']",,"['Rape Women Above 18', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Palwal,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Panch Mahals,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Information Technology Act']","['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Abetment To Suicide Of Women']"
Parbhani,"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Motor Vehicle Act', 'The Copy Right Act']",
Pashchim Champaran,"['Section 12 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Dowry Deaths', 'Rape Girls Below 18']"
Patan,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']",,
Patiala,"['Section 4 And 6 Of Pocso Act Girls', 'Other Murder', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,"['Information Technology Act', 'Immoral Traffic Prevention', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Patna,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']","['female 14 to 18 years', 'female 18 to 30 years', 'female 5 to 14 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",No major threats
Phek,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",No major threats,No major threats,
Pherzawl,No major threats,,No major threats,No major threats
Pilibhit,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Pithoragarh,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Human Trafficking Children Only']","['female 5 to 14 years', 'female 18 to 30 years', 'male 18 to 30 years']",,
Poonch,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Other Murder']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Pratapgarh,"['Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Child Labour']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Pune,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']","['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Information Technology Act']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Purbi Champaran,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Other Murder']",,,"['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Puri,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",No major threats,"['Dowry Prohibition', 'Immoral Traffic Prevention', 'Prohibition Of Child Marriage']",
Purnia,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Cruelty By Husband Or His Relatives', 'Dowry Deaths', 'Rape Women Above 18']"
Raichur,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']",
Raipur,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Other Murder']",,,
Raisen,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Rape']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Rajgarh,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Rajkot,No major threats,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Abetment To Suicide Of Women']"
Ramban,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,No major threats,
Rampur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Rape Girls Below 18']"
Ranipet,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,,
Ratnagiri,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'male 45 to 60 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'City Town Police Acts']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Insult To The Modesty Of Women Above 18']"
Rayagada,"['Missing Children Deemed As Kidnapped', 'Rape', 'Muder With Rape Pocso']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']",
Reasi,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,,"['Rape Women Above 18', 'Murder With Rape Gang Rape', 'Insult To The Modesty Of Women Below 18']"
Rewari,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Rohtas,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 14 to 18 years', 'female 18 to 30 years', 'female 5 to 14 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']","['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Dowry Deaths']"
Rupnagar,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,
S.A.S Nagar,No major threats,"['female 14 to 18 years', 'female 5 to 14 years', 'male 18 to 30 years']",No major threats,"['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Sabar Kantha,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Sahebganj,"['Human Trafficking Children Only', 'Muder With Rape Pocso', 'Other Murder']","['male 5 to 14 years', 'male 14 to 18 years', 'female 5 to 14 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Saiha,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Salem,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']","['female 14 to 18 years', 'female 18 to 30 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Abetment To Suicide Of Women']"
Sambalpur,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Prohibition Of Child Marriage']",,"['Immoral Traffic Prevention', 'Prohibition Of Child Marriage', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Saraikela Kharsawan,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Prohibition Of Child Marriage']","['male 14 to 18 years', 'female 18 to 30 years', 'male 18 to 30 years']",,
Satna,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls']",,"['The Copy Right Act', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Sawai Madhopur,"['Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Child Labour']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,
Senapati,"['Section 8 And 10 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']","['male 45 to 60 years', 'male below 5 years', 'female 30 to 45 years']",,
Shajapur,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Shamli,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Other Murder']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Shi Yomi,No major threats,No major threats,,
Shimla,No major threats,"['female 14 to 18 years', 'female 5 to 14 years', 'male 14 to 18 years']","['Information Technology Act', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Shivamogga,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Shravasti,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']","['female 14 to 18 years', 'male 14 to 18 years', 'male 5 to 14 years']",,
Siddharth Nagar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Information Technology Act']",
Simdega,"['Human Trafficking Children Only', 'Section 4 And 6 Of Pocso Act Girls', 'Rape']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Rape Women Above 18', 'Cruelty By Husband Or His Relatives', 'Human Trafficking']"
Sirmaur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Rape', 'Prohibition Of Child Marriage']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Sitamarhi,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,
Sitapur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Rape']","['male 30 to 45 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
Sivasagar,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']","['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']",
Solan,"['Missing Children Deemed As Kidnapped', 'Rape', 'Other Murder']","['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']",,"['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Solapur,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'City Town Police Acts']",
Sonipat,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,
South Andamans,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']",
South Salmara Mancachar,"['Section 4 And 6 Of Pocso Act Girls', 'Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,
South Tripura,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
South West,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Sri Muktsar Sahib,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']","['male 30 to 45 years', 'female 18 to 30 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Pre Natal Diagnostic Techniques Reg And Prev Of Misuse', 'Immoral Traffic Prevention']",
Srinagar,No major threats,,,No major threats
Sultanpur,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 14 to 18 years']",,
Sundargarh,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Rape']",No major threats,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']",
Supaul,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 14 to 18 years', 'female 18 to 30 years', 'female 5 to 14 years']",,
Surat,No major threats,,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Surendranagar,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 12 Of Pocso Act Girls']",,"['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Abetment To Suicide Of Women', 'Rape Women Above 18']"
Tapi,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,"['Rape Women Above 18', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Tarn Taran,"['Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Rape', 'Other Murder']","['male 30 to 45 years', 'male 18 to 30 years', 'male 45 to 60 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']",
Tawang,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",No major threats,No major threats,"['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Murder With Rape Gang Rape']"
